Team1,Team1Score,Team2,Team2Score,Team1Win
Los Angeles Lakers,87,Philadelphia 76ers,105,0
Utah Jazz,109,Memphis Grizzlies,119,0
Los Angeles Clippers,114,Miami Heat,121,0
Minnesota Timberwolves,124,Phoenix Suns,134,0
New York Knicks,108,Milwaukee Bucks,123,0
Indiana Pacers,105,Dallas Mavericks,132,0
Sacramento Kings,101,Philadelphia 76ers,103,0
Washington Wizards,95,Memphis Grizzlies,115,0
Toronto Raptors,124,Miami Heat,120,1
Denver Nuggets,136,Milwaukee Bucks,100,1
San Antonio Spurs,110,Phoenix Suns,115,0
Memphis Grizzlies,119,Philadelphia 76ers,122,0
Miami Heat,92,Boston Celtics,122,0
Washington Wizards,98,Milwaukee Bucks,112,0
Brooklyn Nets,111,Phoenix Suns,121,0
Washington Wizards,106,Philadelphia 76ers,103,1
Charlotte Hornets,107,Boston Celtics,113,0
Oklahoma City Thunder,120,Dallas Mavericks,114,1
Philadelphia 76ers,98,Dallas Mavericks,107,0
Atlanta Hawks,94,Dallas Mavericks,103,0
Phoenix Suns,114,Philadelphia 76ers,109,1
Boston Celtics,126,Brooklyn Nets,91,1
Los Angeles Clippers,109,Memphis Grizzlies,135,0
Detroit Pistons,86,Dallas Mavericks,116,0
Los Angeles Clippers,105,Dallas Mavericks,112,0
Milwaukee Bucks,107,Phoenix Suns,131,0
Oklahoma City Thunder,87,Philadelphia 76ers,100,0
Denver Nuggets,102,Boston Celtics,108,0
Cleveland Cavaliers,93,Philadelphia 76ers,103,0
Brooklyn Nets,111,Miami Heat,115,0
Los Angeles Clippers,99,Dallas Mavericks,97,1
Orlando Magic,105,Phoenix Suns,132,0
Atlanta Hawks,95,Boston Celtics,105,0
Sacramento Kings,85,Brooklyn Nets,109,0
Portland Trail Blazers,122,Milwaukee Bucks,107,1
Dallas Mavericks,107,Miami Heat,99,1
Boston Celtics,135,Philadelphia 76ers,87,1
Indiana Pacers,119,Milwaukee Bucks,128,0
Los Angeles Clippers,96,Phoenix Suns,103,0
Detroit Pistons,112,Boston Celtics,111,1
Portland Trail Blazers,123,Memphis Grizzlies,119,1
Houston Rockets,121,Phoenix Suns,124,0
Washington Wizards,117,Brooklyn Nets,103,1
Philadelphia 76ers,123,Milwaukee Bucks,120,1
Boston Celtics,129,Brooklyn Nets,106,1
New Orleans Pelicans,117,Phoenix Suns,102,1
San Antonio Spurs,129,Miami Heat,133,0
Brooklyn Nets,126,Milwaukee Bucks,123,1
Utah Jazz,118,Phoenix Suns,114,1
Toronto Raptors,133,Brooklyn Nets,97,1
Chicago Bulls,99,Miami Heat,112,0
San Antonio Spurs,105,Memphis Grizzlies,118,0
Charlotte Hornets,106,Milwaukee Bucks,130,0
Atlanta Hawks,98,Boston Celtics,107,0
New York Knicks,108,Philadelphia 76ers,123,0
Miami Heat,119,Milwaukee Bucks,120,0
Portland Trail Blazers,90,Phoenix Suns,120,0
Memphis Grizzlies,107,Boston Celtics,120,0
Miami Heat,113,Brooklyn Nets,107,1
Golden State Warriors,113,Dallas Mavericks,122,0
Cleveland Cavaliers,119,Philadelphia 76ers,125,0
New York Knicks,114,Phoenix Suns,115,0
Sacramento Kings,113,Dallas Mavericks,114,0
Orlando Magic,96,Memphis Grizzlies,124,0
Philadelphia 76ers,82,Miami Heat,99,0
Brooklyn Nets,120,Boston Celtics,126,0
Phoenix Suns,122,Milwaukee Bucks,132,0
Chicago Bulls,106,Philadelphia 76ers,121,0
Houston Rockets,106,Miami Heat,123,0
Utah Jazz,103,Dallas Mavericks,111,0
New Orleans Pelicans,111,Memphis Grizzlies,132,0
Phoenix Suns,111,Miami Heat,90,1
Atlanta Hawks,115,Milwaukee Bucks,124,0
New York Knicks,107,Dallas Mavericks,77,1
Brooklyn Nets,129,Philadelphia 76ers,100,1
Detroit Pistons,103,Boston Celtics,114,0
New York Knicks,114,Memphis Grizzlies,118,0
Cleveland Cavaliers,105,Miami Heat,117,0
Toronto Raptors,117,Phoenix Suns,112,1
Minnesota Timberwolves,113,Miami Heat,104,1
New York Knicks,107,Brooklyn Nets,110,0
Dallas Mavericks,95,Boston Celtics,92,1
Los Angeles Lakers,111,Phoenix Suns,140,0
Denver Nuggets,114,Philadelphia 76ers,110,1
Detroit Pistons,98,Miami Heat,105,0
Dallas Mavericks,113,Brooklyn Nets,111,1
Dallas Mavericks,101,Philadelphia 76ers,111,0
Portland Trail Blazers,123,Brooklyn Nets,128,0
Oklahoma City Thunder,108,Miami Heat,120,0
Chicago Bulls,102,Phoenix Suns,129,0
Toronto Raptors,93,Philadelphia 76ers,88,1
Utah Jazz,106,Brooklyn Nets,114,0
Miami Heat,106,Philadelphia 76ers,113,0
Minnesota Timberwolves,108,Dallas Mavericks,110,0
Chicago Bulls,98,Milwaukee Bucks,126,0
Utah Jazz,97,Boston Celtics,125,0
Brooklyn Nets,120,Memphis Grizzlies,132,0
Golden State Warriors,118,Miami Heat,104,1
Houston Rockets,91,Dallas Mavericks,110,0
Indiana Pacers,103,Memphis Grizzlies,133,0
Washington Wizards,102,Milwaukee Bucks,114,0
New York Knicks,111,Miami Heat,103,1
Milwaukee Bucks,102,Memphis Grizzlies,127,0
Brooklyn Nets,110,Miami Heat,95,1
Minnesota Timberwolves,112,Boston Celtics,134,0
Philadelphia 76ers,104,Phoenix Suns,114,0
