Team1,Team1Score,Team2,Team2Score
Miami Heat,106,Philadelphia 76ers,113
Boston Celtics,132,Oklahoma City Thunder,123
Golden State Warriors,90,Orlando Magic,94
Golden State Warriors,118,Miami Heat,104
Phoenix Suns,125,Minnesota Timberwolves,116
Philadelphia 76ers,126,Los Angeles Lakers,121
Phoenix Suns,140,Denver Nuggets,130
Golden State Warriors,110,Atlanta Hawks,121
Dallas Mavericks,95,Minnesota Timberwolves,116
Philadelphia 76ers,122,Los Angeles Clippers,97
Milwaukee Bucks,102,Memphis Grizzlies,127
Philadelphia 76ers,104,Phoenix Suns,114
Golden State Warriors,115,Washington Wizards,123
Boston Celtics,112,Toronto Raptors,115
Golden State Warriors,95,Memphis Grizzlies,123
Milwaukee Bucks,118,Philadelphia 76ers,116
Dallas Mavericks,120,Cleveland Cavaliers,112
Miami Heat,106,Boston Celtics,98
Memphis Grizzlies,112,San Antonio Spurs,111
Phoenix Suns,107,Golden State Warriors,103
Philadelphia 76ers,94,Detroit Pistons,102
Milwaukee Bucks,120,Brooklyn Nets,119
Dallas Mavericks,103,Washington Wizards,135
Phoenix Suns,114,Memphis Grizzlies,122
Miami Heat,127,Chicago Bulls,109
Dallas Mavericks,118,Milwaukee Bucks,112
Philadelphia 76ers,112,Cleveland Cavaliers,108
Phoenix Suns,96,Oklahoma City Thunder,117
Miami Heat,114,Toronto Raptors,109
Golden State Warriors,109,Sacramento Kings,90
Philadelphia 76ers,131,Indiana Pacers,122
Milwaukee Bucks,127,Chicago Bulls,106
Memphis Grizzlies,115,Utah Jazz,121
Dallas Mavericks,131,Detroit Pistons,113
Boston Celtics,117,Chicago Bulls,94
Phoenix Suns,109,Los Angeles Clippers,113
Boston Celtics,121,Milwaukee Bucks,127
Philadelphia 76ers,114,Toronto Raptors,119
Memphis Grizzlies,109,Denver Nuggets,122
Milwaukee Bucks,131,Detroit Pistons,101
Phoenix Suns,111,Utah Jazz,105
Golden State Warriors,100,San Antonio Spurs,94
Milwaukee Bucks,115,Cleveland Cavaliers,133
Boston Celtics,139,Memphis Grizzlies,110
Miami Heat,111,Orlando Magic,125
Golden State Warriors,128,New Orleans Pelicans,107
Philadelphia 76ers,104,Toronto Raptors,101
Memphis Grizzlies,104,Minnesota Timberwolves,95
Dallas Mavericks,126,Utah Jazz,118
Golden State Warriors,118,Denver Nuggets,113
Miami Heat,110,Atlanta Hawks,111
Milwaukee Bucks,111,Chicago Bulls,81
Phoenix Suns,114,New Orleans Pelicans,111
Philadelphia 76ers,102,Toronto Raptors,110
Dallas Mavericks,99,Utah Jazz,100
Boston Celtics,109,Brooklyn Nets,103
Memphis Grizzlies,118,Minnesota Timberwolves,119
Milwaukee Bucks,119,Chicago Bulls,95
Golden State Warriors,121,Denver Nuggets,126
Miami Heat,110,Atlanta Hawks,86
Phoenix Suns,103,New Orleans Pelicans,118
Boston Celtics,116,Brooklyn Nets,112
Philadelphia 76ers,132,Toronto Raptors,97
Phoenix Suns,115,New Orleans Pelicans,109
Dallas Mavericks,98,Utah Jazz,96
Memphis Grizzlies,114,Minnesota Timberwolves,106
Milwaukee Bucks,101,Boston Celtics,89
Golden State Warriors,117,Memphis Grizzlies,116
Philadelphia 76ers,92,Miami Heat,106
Dallas Mavericks,114,Phoenix Suns,121
Milwaukee Bucks,86,Boston Celtics,109
Golden State Warriors,101,Memphis Grizzlies,106
Philadelphia 76ers,103,Miami Heat,119
Dallas Mavericks,109,Phoenix Suns,129
Miami Heat,79,Philadelphia 76ers,99
Phoenix Suns,94,Dallas Mavericks,103
Boston Celtics,101,Milwaukee Bucks,103
Memphis Grizzlies,112,Golden State Warriors,142
Phoenix Suns,101,Dallas Mavericks,111
Miami Heat,108,Philadelphia 76ers,116
Boston Celtics,116,Milwaukee Bucks,108
Memphis Grizzlies,98,Golden State Warriors,101
Philadelphia 76ers,85,Miami Heat,120
Dallas Mavericks,80,Phoenix Suns,110
Milwaukee Bucks,110,Boston Celtics,107
Golden State Warriors,95,Memphis Grizzlies,134
Miami Heat,99,Philadelphia 76ers,90
Phoenix Suns,86,Dallas Mavericks,113
Boston Celtics,108,Milwaukee Bucks,95
Memphis Grizzlies,96,Golden State Warriors,110
Milwaukee Bucks,81,Boston Celtics,109
Dallas Mavericks,123,Phoenix Suns,90
Boston Celtics,107,Miami Heat,118
New Orleans Pelicans,113,Milwaukee Bucks,136
Los Angeles Clippers,120,Brooklyn Nets,116
Orlando Magic,111,Boston Celtics,116
Houston Rockets,113,Philadelphia 76ers,133
Memphis Grizzlies,118,Brooklyn Nets,104
Detroit Pistons,115,Milwaukee Bucks,106
Denver Nuggets,89,Dallas Mavericks,103
San Antonio Spurs,99,Boston Celtics,97
Golden State Warriors,82,Dallas Mavericks,99
Toronto Raptors,117,Milwaukee Bucks,111
Detroit Pistons,88,Memphis Grizzlies,118
Los Angeles Clippers,89,Phoenix Suns,106
San Antonio Spurs,100,Philadelphia 76ers,119
Milwaukee Bucks,121,Brooklyn Nets,109
New York Knicks,75,Boston Celtics,99
Miami Heat,123,Phoenix Suns,100
San Antonio Spurs,119,Brooklyn Nets,121
Chicago Bulls,99,Dallas Mavericks,113
Indiana Pacers,98,Boston Celtics,101
Golden State Warriors,108,Memphis Grizzlies,116
Charlotte Hornets,109,Philadelphia 76ers,98
Golden State Warriors,99,Milwaukee Bucks,118
Minnesota Timberwolves,108,Memphis Grizzlies,116
Oklahoma City Thunder,130,Brooklyn Nets,109
Boston Celtics,99,Philadelphia 76ers,111
Atlanta Hawks,118,Miami Heat,124
Dallas Mavericks,112,Memphis Grizzlies,85
Toronto Raptors,103,Milwaukee Bucks,96
New Orleans Pelicans,105,Brooklyn Nets,120
Philadelphia 76ers,109,Miami Heat,98
Chicago Bulls,112,Boston Celtics,114
Orlando Magic,92,Dallas Mavericks,108
New Orleans Pelicans,92,Boston Celtics,104
Chicago Bulls,106,Memphis Grizzlies,119
Toronto Raptors,99,Miami Heat,104
Oklahoma City Thunder,102,Dallas Mavericks,104
Orlando Magic,110,Philadelphia 76ers,123
Charlotte Hornets,111,Boston Celtics,102
Portland Trail Blazers,92,Miami Heat,104
Memphis Grizzlies,114,Milwaukee Bucks,126
Toronto Raptors,98,Dallas Mavericks,102
Phoenix Suns,109,Dallas Mavericks,101
Los Angeles Clippers,102,Philadelphia 76ers,101
Portland Trail Blazers,109,Boston Celtics,105
Chicago Bulls,90,Milwaukee Bucks,94
Sacramento Kings,127,Milwaukee Bucks,133
Indiana Pacers,103,Phoenix Suns,113
Los Angeles Lakers,107,Miami Heat,113
Memphis Grizzlies,91,Dallas Mavericks,104
Utah Jazz,109,Phoenix Suns,115
New Orleans Pelicans,107,Philadelphia 76ers,117
Sacramento Kings,75,Boston Celtics,128
Los Angeles Lakers,106,Brooklyn Nets,96
New York Knicks,96,Miami Heat,110
Denver Nuggets,124,Brooklyn Nets,118
Los Angeles Lakers,87,Philadelphia 76ers,105
Utah Jazz,109,Memphis Grizzlies,119
Los Angeles Clippers,114,Miami Heat,121
Minnesota Timberwolves,124,Phoenix Suns,134
New York Knicks,108,Milwaukee Bucks,123
Indiana Pacers,105,Dallas Mavericks,132
Sacramento Kings,101,Philadelphia 76ers,103
Washington Wizards,95,Memphis Grizzlies,115
Toronto Raptors,124,Miami Heat,120
Denver Nuggets,136,Milwaukee Bucks,100
San Antonio Spurs,110,Phoenix Suns,115
Memphis Grizzlies,119,Philadelphia 76ers,122
Miami Heat,92,Boston Celtics,122
Washington Wizards,98,Milwaukee Bucks,112
Brooklyn Nets,111,Phoenix Suns,121
Washington Wizards,106,Philadelphia 76ers,103
Charlotte Hornets,107,Boston Celtics,113
Oklahoma City Thunder,120,Dallas Mavericks,114
Philadelphia 76ers,98,Dallas Mavericks,107
Atlanta Hawks,94,Dallas Mavericks,103
Phoenix Suns,114,Philadelphia 76ers,109
Boston Celtics,126,Brooklyn Nets,91
Los Angeles Clippers,109,Memphis Grizzlies,135
Detroit Pistons,86,Dallas Mavericks,116
Los Angeles Clippers,105,Dallas Mavericks,112
Milwaukee Bucks,107,Phoenix Suns,131
Oklahoma City Thunder,87,Philadelphia 76ers,100
Denver Nuggets,102,Boston Celtics,108
Cleveland Cavaliers,93,Philadelphia 76ers,103
Brooklyn Nets,111,Miami Heat,115
Los Angeles Clippers,99,Dallas Mavericks,97
Orlando Magic,105,Phoenix Suns,132
Atlanta Hawks,95,Boston Celtics,105
Sacramento Kings,85,Brooklyn Nets,109
Portland Trail Blazers,122,Milwaukee Bucks,107
Dallas Mavericks,107,Miami Heat,99
Boston Celtics,135,Philadelphia 76ers,87
Indiana Pacers,119,Milwaukee Bucks,128
Los Angeles Clippers,96,Phoenix Suns,103
Detroit Pistons,112,Boston Celtics,111
